salesperson,role,territory,required_lead_count,map_required,notes
Meer,telesales,CM11,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM12,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM13,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM14,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM15,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM16,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM17,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM18,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM19,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM20,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM21,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM22,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM23,0,false,campaign-004-meer-full-allocation
Meer,telesales,CM24,0,false,campaign-004-meer-full-allocation
