Brand Name,Decision
Ali Baba,Exclude Whole Brand
Amigos Burgers and Shakes,Exclude Whole Brand
Aroma,Exclude Whole Brand
Bargain Booze,Exclude Whole Brand
Baskin Robbins,Exclude Whole Brand
Black Sheep Coffee,Keep
Boba Tigers,Exclude Whole Brand
Boots,Exclude Whole Brand
BRIM Burgers,Keep
Browns,Exclude Whole Brand
Budgens,Exclude Whole Brand
Burger King,Exclude Whole Brand
Caffè Nero,Exclude Whole Brand
Cake Box,Exclude Whole Brand
Cake Inn,Exclude Whole Brand
Cake Shop,Exclude Whole Brand
CakeCo,Exclude Whole Brand
Caprinos Pizza,Exclude Whole Brand
Cavan Bakery,Exclude Whole Brand
CeX,Exclude Whole Brand
Chaiiwala,Exclude Whole Brand
Charcoal Grill,Keep
Chennai Biryani,Keep
Chicken Land,Keep
Chicken World,Keep
China Chef,Exclude Whole Brand
Chopstix Noodle Bar,Exclude Whole Brand
Chutnei Charm,Keep
Cinnamon Lounge,Exclude Whole Brand
Coco di Mama,Exclude Whole Brand
Creams,Keep
DESI SWAD,Exclude Whole Brand
Dragon Garden,Exclude Whole Brand
Eat Well,Exclude Whole Brand
Ember Inns,Exclude Whole Brand
Evapo,Exclude Whole Brand
Farmhouse Pizza,Exclude Whole Brand
Favorite Chicken & Ribs,Keep
Fireaway Designer Pizza,Exclude Whole Brand
Fishy Delishy,Exclude Whole Brand
Five Guys,Exclude Whole Brand
Flames,Keep
Georges,Exclude Whole Brand
German Doner Kebab,Exclude Whole Brand
Going Greek,Exclude Whole Brand
Good Luck,Exclude Whole Brand
Gourmet Kings by Burger King,Exclude Whole Brand
Greene King,Exclude Whole Brand
Grillish,Exclude Whole Brand
Gujarat Express,Keep
Harvester,Exclude Whole Brand
Haute Dolci,Exclude Whole Brand
Heavenly Desserts,Exclude Whole Brand
Herbies Pizza,Exclude Whole Brand
Humble Thali,Exclude Whole Brand
Istanbul Kebab,Exclude Whole Brand
Jay's Chicken,Exclude Whole Brand
JOE & THE JUICE,Exclude Whole Brand
Karak Chaii,Exclude Whole Brand
Kebabish,Keep
King Kebab,Keep
Krispy Kreme,Exclude Whole Brand
La Dolce Vita,Exclude Whole Brand
Lanzhou Chinese,Exclude Whole Brand
Las Iguanas,Exclude Whole Brand
Little Cafe,Keep
Little Dessert Shop,Keep
Londis,Exclude Whole Brand
Love Churros,Exclude Whole Brand
Majestic Wine,Exclude Whole Brand
Make My Cakes,Exclude Whole Brand
Mamma Mia Pizza,Exclude Whole Brand
Miller & Carter,Exclude Whole Brand
Ministry of Chicken,Keep
Mooboo Bubble Tea,Exclude Whole Brand
Morley's,Keep
Multea Choice,Exclude Whole Brand
Naan Staap,Exclude Whole Brand
Namaste Gurkha,Keep
Ni Hao,Exclude Whole Brand
Nisa Local,Exclude Whole Brand
One Stop,Exclude Whole Brand
Oriental Chef,Exclude Whole Brand
Oriental Express,Exclude Whole Brand
Papa Johns,Exclude Whole Brand
Paya,Keep
Pearl Chemist Group,Exclude Whole Brand
Pepe's Piri Piri,Exclude Whole Brand
Phoenix,Exclude Whole Brand
Pizza GoGo,Exclude Whole Brand
Pizza Hut Delivery,Exclude Whole Brand
Pooja Sweets,Exclude Whole Brand
Popeyes Louisiana Chicken,Exclude Whole Brand
Premier,Exclude Whole Brand
Prezzo Italian Pasta & Pizza,Exclude Whole Brand
Rajah,Keep
Richer Sounds,Exclude Whole Brand
Royal India,Keep
Royal Rasoi,Exclude Whole Brand
Saffron,Exclude Whole Brand
Sam's Chicken,Keep
Sambal Express,Exclude Whole Brand
San Giorgio Pizzeria,Exclude Whole Brand
Scooperb,Keep
Selekt Chicken,Keep
Shah's Halal Food,Exclude Whole Brand
ShakeTastic,Exclude Whole Brand
Shell,Exclude Whole Brand
Shree Krishna Vada Pav,Keep
Shree Sai Vada Pav,Keep
Simmons Bakers,Exclude Whole Brand
Sizzling Pubs,Exclude Whole Brand
SLAMBURGER,Keep
Spice Lounge,Exclude Whole Brand
Spicy Sub,Keep
STAR Food & Wine,Exclude Whole Brand
Stonehouse,Exclude Whole Brand
Sunshine Cafe,Exclude Whole Brand
Superdrug,Exclude Whole Brand
Superfish,Exclude Whole Brand
Sushi Daily,Exclude Whole Brand
Sushi Handroll,Exclude Whole Brand
Taco Bell,Exclude Whole Brand
Tariq Halal Meats,Exclude Whole Brand
TGI Fridays,Exclude Whole Brand
The Brothers Fish Bar,Exclude Whole Brand
The Lunch Box,Exclude Whole Brand
The Plough,Exclude Whole Brand
The Rose & Crown,Exclude Whole Brand
The Urban Chocolatier,Exclude Whole Brand
Tikka Nation,Exclude Whole Brand
Toby Carvery,Exclude Whole Brand
Tops Pizza,Exclude Whole Brand
Totally Wicked,Exclude Whole Brand
Treatz,Exclude Whole Brand
Turtle Bay,Exclude Whole Brand
Vaghaar,Exclude Whole Brand
Vape Stop,Exclude Whole Brand
Village Pizza,Exclude Whole Brand
Vintage Inns,Exclude Whole Brand
Wenzel's,Exclude Whole Brand
Wimpy,Exclude Whole Brand
Woody Grill,Exclude Whole Brand
YO! Sushi,Exclude Whole Brand
Zizzi,Exclude Whole Brand
